,name10,Fire Risk,Normalized Fire Risk
0,4238,609903.5454048126,0.6141494658800939
1,4222,594887.5462889828,0.5801758946868836
2,4224,452169.88179614826,0.257278383986804
3,4225,393277.7968000795,0.12403553901211736
4,4223,515221.0980330605,0.3999312282710767
5,4218,500484.0112554964,0.36658869388784754
6,4236.01,582275.5960434215,0.5516414637610646
7,4216,338455.25449079036,0.0
8,4217,434913.1951396739,0.21823527615493074
9,4212,565066.7962808345,0.5127066996222185
10,4211,522228.4928439206,0.4157853998549522
11,4235,603227.3371446144,0.5990446010703034
12,4232,689870.5266692197,0.7950740856896716
13,4220,780445.8588002563,1.0000000097501303
14,4219,598886.9091596205,0.5892244194080828
15,4213,567296.7562395707,0.5177519651974054
16,4240.01,718040.8333836636,0.8588091667399108
17,4236.02,537640.6549064522,0.45065528636957847
18,4233,688925.5971771033,0.7929361906934512
19,4215,419199.9435598551,0.18268417715006777
20,4228,501327.39167295804,0.3684968349602179
21,4237,534378.6781486575,0.4432750915016455
22,4214,473238.29616952525,0.30494549358908285
23,4221,663139.9901513453,0.7345964725506717
24,4239.02,624673.5909925967,0.647566569293117
25,4230,566452.0663067109,0.5158408613575053
26,4239.01,674931.0691894761,0.7612736893017311
27,4240.02,743019.8201530345,0.9153239133643208
28,4231,630520.6584659566,0.6607955100745723
29,4227,468197.267850934,0.2935402095884927
30,4226,412848.4155451677,0.16831389865390198
31,4229,521591.5155657026,0.41434424414209764
32,4234,642240.9678329034,0.68731261104221
