time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1972-12-18T05:52:32.230Z,33.2426667,-116.0841667,6,3.22,ml,9,61,0.5913,0.44,ci,ci3320588,2016-01-29T01:16:15.880Z,"12km NNE of Ocotillo Wells, CA",earthquake,0.87,31.61,0.082,4,reviewed,ci,ci
1972-12-13T05:12:55.260Z,33.9851667,-117.6426667,0.02,3.35,ml,14,129,0.2222,0.47,ci,ci3320582,2016-01-29T01:45:44.900Z,"5km SE of Chino, CA",earthquake,0.97,1.72,0.132,10,reviewed,ci,ci
1972-12-13T05:04:19.700Z,33.9868333,-117.6366667,0.02,2.77,ml,10,134,0.2171,0.54,ci,ci3320580,2016-01-29T01:11:08.270Z,"6km ESE of Chino, CA",earthquake,1.19,2.08,0.174,6,reviewed,ci,ci
1972-12-12T16:30:00.780Z,37.0138333,-115.9441667,0.01,3.17,ml,10,254,1.791,0.79,ci,ci3320725,2016-01-29T01:40:44.160Z,"73km E of Beatty, NV",nuclear explosion,9.83,31.61,0.128,4,reviewed,ci,ci
1972-12-10T10:22:09.320Z,33.9843333,-117.636,0,3.37,ml,12,130,0.2167,0.41,ci,ci3320575,2016-01-29T01:40:43.170Z,"6km ESE of Chino, CA",earthquake,0.83,1.53,0.299,8,reviewed,ci,ci
1972-12-09T02:44:45.700Z,38.676,-115.639,10,4.4,mb,,,,,ushis,ushis3214,2018-06-04T20:43:45.000Z,"56 km WSW of Preston, Nevada",earthquake,,,,,reviewed,ushis,us
1972-12-06T10:56:30.770Z,35.7801667,-117.7488333,0.01,2.6,mh,7,89,0.128,0.64,ci,ci3320562,2016-01-29T01:40:42.680Z,"16km NNE of Inyokern, CA",earthquake,1.42,4.19,0.231,13,reviewed,ci,ci
1972-12-04T03:02:44.310Z,33.2441667,-116.0408333,6,3.3,ml,7,86,0.5712,0.44,ci,ci3320561,2016-01-29T01:11:06.710Z,"10km SW of Salton City, CA",earthquake,0.89,31.61,0.098,5,reviewed,ci,ci
1972-12-02T03:39:36.640Z,32.57,-115.2395,6,2.73,mh,3,241,0.5926,0.09,ci,ci3320560,2016-01-29T01:26:02.250Z,"11km E of Puebla, B.C., MX",earthquake,2.42,31.61,0.043,11,reviewed,ci,ci
1972-12-01T01:42:27.000Z,34.552,-118.7965,6,2.71,ml,9,142,0.6555,0.47,ci,ci3320559,2016-01-29T01:26:01.680Z,"15km N of Piru, CA",earthquake,1.96,31.61,0.436,9,reviewed,ci,ci
1972-11-29T21:25:37.360Z,32.1921667,-115.7751667,6,2.71,mh,6,207,0.4202,0.49,ci,ci3320556,2016-01-29T01:16:13.140Z,"47km SSW of Progreso, B.C., MX",earthquake,2.48,31.61,0.332,8,reviewed,ci,ci
1972-11-28T16:18:59.260Z,33.5986667,-116.6483333,6.31,2.97,ml,9,105,0.303,0.35,ci,ci3320555,2016-01-29T01:11:05.750Z,"5km NNE of Anza, CA",earthquake,0.65,3.38,0.03,3,reviewed,ci,ci
1972-11-26T06:57:16.930Z,34.2755,-116.9996667,2.19,2.67,ml,10,93,0.4199,0.55,ci,ci3320724,2016-01-29T01:11:04.790Z,"9km WNW of Big Bear Lake, CA",earthquake,0.97,3.58,0.05,4,reviewed,ci,ci
1972-11-25T19:31:38.850Z,36.655,-117.9573333,0.01,3.06,ml,5,172,,0.48,ci,ci3320721,2016-01-29T01:35:57.990Z,"13km NE of Lone Pine, CA",earthquake,1.54,2.76,0.055,3,reviewed,ci,ci
1972-11-25T08:22:13.950Z,33.9973333,-117.6446667,0.01,2.5,ml,7,133,0.2237,0.48,ci,ci3320716,2016-01-29T01:21:06.920Z,"4km ESE of Chino, CA",earthquake,1.13,2.34,0.338,5,reviewed,ci,ci
1972-11-25T07:07:39.100Z,33.9738333,-117.6296667,0.04,3.36,ml,15,129,0.2121,0.39,ci,ci3320715,2016-01-29T01:11:03.530Z,"7km SE of Chino, CA",earthquake,0.82,1.51,0.235,11,reviewed,ci,ci
1972-11-25T07:02:05.490Z,33.9866667,-117.6505,0.05,3.2,ml,14,130,0.2286,0.41,ci,ci3320714,2016-01-29T01:45:41.030Z,"4km SE of Chino, CA",earthquake,0.9,1.77,0.256,11,reviewed,ci,ci
1972-11-25T06:57:37.420Z,33.9993333,-117.6313333,1.12,3.15,ml,14,129,0.2127,0.53,ci,ci3320713,2016-01-29T01:25:59.260Z,"6km ESE of Chino, CA",earthquake,1.17,2.2,0.09,9,reviewed,ci,ci
1972-11-25T03:24:59.090Z,33.9925,-117.6275,0.71,3.06,ml,11,132,0.2094,0.38,ci,ci3320712,2016-01-29T01:45:40.540Z,"6km ESE of Chino, CA",earthquake,0.89,1.68,0.139,9,reviewed,ci,ci
1972-11-24T02:51:26.290Z,33.0128333,-117.8905,6,2.83,ml,5,276,0.6742,0.32,ci,ci3320684,2016-01-29T01:11:01.760Z,"48km ENE of San Clemente Is. (SE tip), CA",earthquake,2.09,31.61,0.091,2,reviewed,ci,ci
1972-11-23T18:56:49.090Z,34.4398333,-118.5303333,4.1,2.5,mh,5,168,,0.3,ci,ci12316883,2016-01-29T01:40:39.740Z,"3km NW of Santa Clarita, CA",earthquake,1.21,2.07,,0,reviewed,ci,ci
1972-11-22T02:21:00.130Z,33.9996667,-116.7831667,6,2.75,ml,10,79,0.4921,0.6,ci,ci3320681,2016-01-29T01:21:05.970Z,"9km N of Cabazon, CA",earthquake,1.16,31.61,0.1,4,reviewed,ci,ci
1972-11-21T09:27:01.140Z,34.0848333,-116.7823333,6,2.83,ml,9,87,0.5009,0.37,ci,ci3320679,2016-01-29T01:45:38.630Z,"19km N of Cabazon, CA",earthquake,0.71,31.61,0.118,3,reviewed,ci,ci
1972-11-20T22:25:58.300Z,33.1123333,-117.9086667,0.01,3.14,ml,13,237,0.7129,1.13,ci,ci3344271,2016-01-29T01:35:55.130Z,"44km SSW of Dana Point, CA",quarry blast,4.75,31.61,0.208,8,reviewed,ci,ci
1972-11-20T00:30:00.290Z,32.7923333,-118.3048333,0.01,3.09,ml,16,228,1.018,0.5,ci,ci3344270,2016-01-29T01:10:59.970Z,"5km SE of San Clemente Is. (SE tip), CA",quarry blast,3.43,31.61,0.096,7,reviewed,ci,ci
1972-11-19T04:29:01.170Z,32.8915,-118.2201667,0.01,3.23,ml,15,224,0.9412,0.59,ci,ci3344269,2016-01-29T01:45:37.640Z,"14km NE of San Clemente Is. (SE tip), CA",quarry blast,3.07,31.61,0.331,11,reviewed,ci,ci
1972-11-18T15:08:38.650Z,34.0093333,-116.7886667,6,3.55,ml,13,80,0.4877,0.51,ci,ci3320674,2016-01-29T01:40:38.780Z,"10km N of Cabazon, CA",earthquake,1,31.61,0.09,10,reviewed,ci,ci
1972-11-17T18:27:54.970Z,35.9176667,-116.1005,6,2.83,mh,2,318,0.8414,0.01,ci,ci3320673,2016-01-29T01:45:37.140Z,"14km NE of Tecopa, CA",earthquake,1.43,31.61,0.104,9,reviewed,ci,ci
1972-11-16T21:53:17.880Z,33.7426667,-117.5271667,0.06,2.95,ml,10,151,0.2802,0.41,ci,ci3320671,2016-01-29T01:10:58.800Z,"11km NNE of Trabuco Canyon, CA",earthquake,1.06,1.92,0.016,3,reviewed,ci,ci
1972-11-15T16:44:10.340Z,35.2596667,-118.863,6,3.05,ml,10,156,,0.63,ci,ci3320666,2016-01-29T01:16:09.140Z,"5km E of Lamont, CA",earthquake,2.07,31.61,0.164,10,reviewed,ci,ci
1972-11-15T14:49:05.810Z,35.2503333,-118.8025,6,3.44,ml,12,70,,0.59,ci,ci3320665,2016-01-29T01:45:35.140Z,"5km NNE of Arvin, CA",earthquake,1.3,31.61,0.051,9,reviewed,ci,ci
1972-11-15T01:10:12.670Z,33.886,-116.2336667,2.21,2.97,ml,9,75,0.2673,0.56,ci,ci3320663,2016-01-29T01:21:03.640Z,"16km ENE of Thousand Palms, CA",earthquake,1.28,3.08,0.03,3,reviewed,ci,ci
1972-11-14T11:07:50.870Z,34.556,-118.1961667,6,2.78,ml,7,172,,0.36,ci,ci3320662,2016-01-29T01:16:08.620Z,"9km WSW of Palmdale, CA",earthquake,1.49,31.61,0.198,8,reviewed,ci,ci
1972-11-14T02:10:13.800Z,40.3,-124.67,23,4.8,ms,,,,,ushis,ushis3212,2018-06-04T20:43:45.000Z,"46 km SW of Ferndale, California",earthquake,,,,,reviewed,ushis,us
1972-11-13T01:18:12.600Z,36.083,-117.6535,5.65,2.93,ml,7,163,,0.43,ci,ci3320657,2016-01-29T01:16:07.610Z,"27km E of Coso Junction, CA",earthquake,1.4,3.61,0.091,6,reviewed,ci,ci
1972-11-12T08:51:48.190Z,32.9643333,-115.5128333,6,2.87,ml,5,158,0.5827,0.47,ci,ci3344268,2016-01-29T01:35:53.150Z,"2km SE of Brawley, CA",earthquake,1.62,31.61,,1,reviewed,ci,ci
1972-11-12T04:37:49.360Z,34.4998333,-119.0803333,6,3.02,ml,6,269,,0.62,ci,ci3320655,2016-01-29T01:40:37.770Z,"16km ENE of Ojai, CA",earthquake,4.22,31.61,0.156,3,reviewed,ci,ci
1972-11-11T03:06:30.870Z,33.0036667,-115.5235,6,3.21,ml,5,150,,0.51,ci,ci3320652,2016-01-29T01:35:52.660Z,"3km NNE of Brawley, CA",earthquake,1.64,31.61,0.019,3,reviewed,ci,ci
1972-11-11T01:08:52.880Z,32.9678333,-115.507,6,2.75,mh,4,158,0.5774,0.3,ci,ci3320650,2016-01-29T01:16:07.140Z,"2km ESE of Brawley, CA",earthquake,1.09,31.61,0.128,6,reviewed,ci,ci
1972-11-10T23:33:34.130Z,32.9546667,-115.483,6,2.52,mh,4,162,0.5596,0.39,ci,ci3320648,2016-01-29T01:16:06.680Z,"5km ESE of Brawley, CA",earthquake,1.4,31.61,0.098,6,reviewed,ci,ci
1972-11-10T21:02:52.180Z,33.9983333,-116.9268333,14.61,3.36,ml,10,95,,0.43,ci,ci3320647,2016-01-29T01:21:02.630Z,"9km NNE of Beaumont, CA",earthquake,0.81,1.86,0.175,5,reviewed,ci,ci
1972-11-09T18:15:05.500Z,36.811,-116.1415,0.01,3.66,ml,10,244,,0.9,ci,ci3320643,2016-01-29T01:10:56.370Z,"56km E of Beatty, NV",nuclear explosion,13.2,31.61,0.12,7,reviewed,ci,ci
1972-11-09T15:15:00.700Z,37.1426667,-115.9781667,0.01,3.86,ml,10,258,,0.42,ci,ci3320642,2016-01-29T01:35:52.090Z,"74km ENE of Beatty, NV",nuclear explosion,8.28,31.61,0.154,8,reviewed,ci,ci
1972-11-09T05:24:08.440Z,32.985,-115.8886667,6,2.77,mh,6,125,0.3822,0.4,ci,ci3320641,2016-01-29T01:30:58.850Z,"26km WSW of Westmorland, CA",earthquake,1.11,31.61,0.058,9,reviewed,ci,ci
1972-11-05T11:34:10.070Z,34.2148333,-119.677,0.09,2.89,ml,5,230,0.2275,0.31,ci,ci3320640,2016-01-29T01:25:53.860Z,"23km S of Santa Barbara, CA",earthquake,1.79,1.66,0.536,5,reviewed,ci,ci
1972-11-04T07:16:44.060Z,33.7083333,-116.7201667,6,3.17,ml,10,92,,0.46,ci,ci3320639,2016-01-29T01:16:05.680Z,"4km S of Idyllwild, CA",earthquake,0.8,31.61,0.245,4,reviewed,ci,ci
1972-10-31T21:58:32.310Z,32.8946667,-115.4776667,6,2.57,mh,4,186,0.5688,0.28,ci,ci3320962,2016-01-29T01:21:01.290Z,"10km ENE of Imperial, CA",earthquake,2.32,31.61,0.06,8,reviewed,ci,ci
1972-10-31T13:27:33.810Z,33.9396667,-117.2598333,12.79,2.62,ml,8,128,0.1101,0.43,ci,ci3320961,2016-01-29T01:21:00.790Z,"3km WNW of Moreno Valley, CA",earthquake,0.89,1.2,0.262,4,reviewed,ci,ci
1972-10-31T11:16:26.890Z,34.0085,-117.2221667,13.28,2.61,ml,8,104,,0.31,ci,ci3320960,2016-01-29T01:21:00.310Z,"6km SE of Loma Linda, CA",earthquake,0.71,1.05,0.044,5,reviewed,ci,ci
1972-10-31T09:56:09.970Z,33.2666667,-116.8111667,7.68,2.9,ml,7,141,,0.52,ci,ci3320959,2016-01-29T01:10:54.930Z,"5km WNW of Lake Henshaw, CA",earthquake,1.29,2.65,0.095,5,reviewed,ci,ci
1972-10-28T18:25:54.100Z,32.3671667,-115.19,6,2.54,mh,3,261,0.7479,0.46,ci,ci3320922,2016-01-29T01:40:35.440Z,"1km NNE of Delta, B.C., MX",earthquake,6.37,31.61,0.146,7,reviewed,ci,ci
1972-10-28T13:15:49.770Z,32.25,-115.1666667,6,3.1,mh,5,271,,6.23,ci,ci12316695,2016-01-29T01:10:54.010Z,"2km N of Alberto Oviedo Mota, B.C., MX",earthquake,86.04,31.61,,0,reviewed,ci,ci
1972-10-28T13:07:46.960Z,32.25,-115.15,6,3.6,mh,5,271,,2.57,ci,ci12316691,2016-01-29T01:35:51.140Z,"3km NE of Alberto Oviedo Mota, B.C., MX",earthquake,99,31.61,,0,reviewed,ci,ci
1972-10-28T12:58:36.390Z,32.25,-115.15,6,3.6,mh,4,271,,3.35,ci,ci12316687,2016-01-29T01:20:59.380Z,"3km NE of Alberto Oviedo Mota, B.C., MX",earthquake,99,31.61,,0,reviewed,ci,ci
1972-10-28T12:55:36.660Z,32.25,-115.15,6,3.5,mh,3,314,,1.35,ci,ci12316679,2016-04-02T10:40:31.802Z,"3km NE of Alberto Oviedo Mota, B.C., MX",earthquake,99,31.61,,0,reviewed,ci,ci
1972-10-28T12:47:24.070Z,32.2356667,-115.1391667,6,3.65,ml,3,273,,0.79,ci,ci3320921,2016-01-29T01:45:32.880Z,"3km ENE of Alberto Oviedo Mota, B.C., MX",earthquake,16.69,31.61,0.118,7,reviewed,ci,ci
1972-10-27T19:49:27.910Z,35.0796667,-116.3831667,6,2.98,ml,9,200,,0.32,ci,ci3320918,2016-01-29T01:40:34.930Z,"34km SE of Fort Irwin, CA",earthquake,1.65,31.61,0.056,5,reviewed,ci,ci
1972-10-27T08:53:23.900Z,34.3511667,-118.43,2.07,2.57,ml,7,146,0.2947,0.53,ci,ci3320917,2016-01-29T01:40:34.460Z,"8km N of Pacoima, CA",earthquake,1.88,1.96,0.175,6,reviewed,ci,ci
1972-10-27T04:37:52.290Z,34.3783333,-118.3291667,2,2.5,mh,7,184,,0.1,ci,ci12316671,2016-01-29T01:30:55.990Z,"12km NNE of Lake View Terrace, CA",earthquake,1.1,1,,0,reviewed,ci,ci
1972-10-27T04:36:51.910Z,34.3773333,-118.3775,0.01,2.51,mh,5,214,0.2852,0.5,ci,ci3320914,2016-01-29T01:20:58.400Z,"12km N of Lake View Terrace, CA",earthquake,3.08,1.9,0.185,15,reviewed,ci,ci
1972-10-25T07:08:43.110Z,34.2623333,-115.8946667,0.01,2.58,mh,8,193,,0.49,ci,ci3320910,2016-01-29T01:30:56.460Z,"21km NE of Twentynine Palms, CA",earthquake,1.79,2.47,0.127,13,reviewed,ci,ci
1972-10-21T19:53:50.460Z,34.3365,-117.1191667,6,2.5,mh,6,298,,0.4,ci,ci12316647,2016-01-29T01:16:03.820Z,"12km NNE of Lake Arrowhead, CA",earthquake,3.32,31.15,,0,reviewed,ci,ci
1972-10-21T12:53:06.840Z,33.9975,-117.6171667,0,2.9,ml,9,154,,0.33,ci,ci3320906,2016-01-29T01:10:53.530Z,"6km S of Ontario, CA",earthquake,1.01,1.43,0.259,8,reviewed,ci,ci
1972-10-21T00:03:38.880Z,34.3948333,-118.4121667,4.62,3.59,ml,12,133,,0.41,ci,ci3320905,2016-01-29T01:40:31.580Z,"9km ESE of Santa Clarita, CA",earthquake,0.82,2.01,0.116,10,reviewed,ci,ci
1972-10-20T17:53:23.750Z,34.0141667,-117.6246667,0.19,2.77,ml,8,152,,0.49,ci,ci3320774,2016-01-29T01:30:54.510Z,"4km S of Ontario, CA",earthquake,1.53,2.71,0.228,4,reviewed,ci,ci
1972-10-20T00:03:39.050Z,34.4041667,-118.4268333,7.5,3.6,mh,8,153,,0.11,ci,ci12316619,2016-01-29T01:16:02.360Z,"7km E of Santa Clarita, CA",earthquake,0.98,1.44,,0,reviewed,ci,ci
1972-10-19T13:26:46.940Z,32.952,-116.2553333,6,3.53,ml,8,224,,0.53,ci,ci3320773,2016-01-29T01:45:31.370Z,"24km SSW of Ocotillo Wells, CA",earthquake,2.23,31.61,0.06,5,reviewed,ci,ci
1972-10-17T04:21:13.450Z,33.3138333,-115.703,6,2.8,mh,5,164,,0.52,ci,ci3320770,2016-01-29T01:45:28.930Z,"5km SE of Bombay Beach, CA",earthquake,1.99,31.61,0.085,11,reviewed,ci,ci
1972-10-17T04:17:28.120Z,33.305,-115.7123333,6,2.67,mh,5,166,0.406,0.65,ci,ci3320769,2016-01-29T01:25:53.320Z,"5km SSE of Bombay Beach, CA",earthquake,2.48,31.61,0.073,11,reviewed,ci,ci
1972-10-16T12:34:13.350Z,33.7691667,-118.3883333,6,3.43,ml,10,194,,0.4,ci,ci3320767,2016-01-29T01:16:01.400Z,"3km N of Rancho Palos Verdes, CA",earthquake,1.08,31.61,0.214,8,reviewed,ci,ci
1972-10-16T10:36:02.210Z,34.4043333,-118.4418333,11.43,2.75,ml,8,138,,0.34,ci,ci3320766,2016-01-29T01:40:30.670Z,"6km ESE of Santa Clarita, CA",earthquake,1.23,1.54,0.131,6,reviewed,ci,ci
1972-10-16T03:32:48.340Z,34.0291667,-117.2443333,13.14,2.53,ml,7,98,,0.32,ci,ci3320765,2016-01-29T01:25:52.830Z,"3km SE of Loma Linda, CA",earthquake,0.86,1,0.037,4,reviewed,ci,ci
1972-10-13T06:46:11.540Z,34.4451667,-118.3385,1.17,2.58,ml,6,201,,0.47,ci,ci3320762,2016-01-29T01:20:57.910Z,"6km SSW of Agua Dulce, CA",earthquake,3.66,1.8,0.045,4,reviewed,ci,ci
1972-10-11T07:12:14.620Z,34.022,-116.7621667,6,2.86,ml,7,82,,0.53,ci,ci3320761,2016-01-29T01:30:54.010Z,"12km N of Cabazon, CA",earthquake,1.1,31.61,0.015,4,reviewed,ci,ci
1972-10-08T11:47:17.110Z,34.2253333,-117.4863333,0.08,3.4,ml,11,105,,0.32,ci,ci3320758,2016-01-29T01:10:52.060Z,"4km SSE of Lytle Creek, CA",earthquake,0.83,2.11,0.077,10,reviewed,ci,ci
1972-10-06T11:08:03.670Z,35.2963333,-118.5508333,0.55,3.09,ml,11,66,,0.5,ci,ci3320755,2016-01-29T01:20:56.930Z,"20km NNW of Tehachapi, CA",earthquake,1.05,3.36,0.036,10,reviewed,ci,ci
1972-10-05T21:51:30.340Z,35.0451667,-118.4518333,0.01,2.56,mh,6,194,0.6165,0.4,ci,ci3320754,2016-04-02T19:57:48.269Z,"10km S of Tehachapi, CA",quarry blast,1.75,31.61,0.203,8,reviewed,ci,ci
1972-10-03T06:30:02.200Z,36.8,-121.533,8,4.88,mw,,,,,ushis,ushis3209,2018-06-04T20:43:45.000Z,"5 km S of San Juan Bautista, California",earthquake,,,,,reviewed,ushis,jm
1972-10-03T00:22:26.400Z,34.64,-116.3566667,6,2.54,mh,6,183,0.5905,0.51,ci,ci3320751,2016-01-29T01:30:53.520Z,"20km WSW of Ludlow, CA",earthquake,2.2,31.61,0.174,10,reviewed,ci,ci
1972-09-30T17:01:30.720Z,33.8553333,-117.6978333,5.56,2.5,mh,5,272,,0.52,ci,ci12316523,2016-01-29T01:45:26.080Z,"11km ESE of Yorba Linda, CA",earthquake,7.23,10.83,,0,reviewed,ci,ci
1972-09-29T05:48:46.180Z,33.8296667,-117.051,1.52,2.56,ml,6,129,0.3155,0.28,ci,ci3344220,2016-01-29T01:35:48.250Z,"9km ENE of Nuevo, CA",earthquake,0.76,1.64,0.08,3,reviewed,ci,ci
1972-09-26T21:48:09.220Z,35.0483333,-118.3918333,0.01,2.6,mh,7,186,0.6167,0.45,ci,ci3320740,2016-04-02T04:12:18.073Z,"11km SSE of Tehachapi, CA",quarry blast,1.94,31.61,0.196,13,reviewed,ci,ci
1972-09-26T17:16:30.580Z,36.0723333,-118.3031667,6,2.71,ml,4,187,0.4087,0.22,ci,ci3344214,2016-01-29T01:15:59.460Z,"32km W of Coso Junction, CA",earthquake,0.9,31.61,0.214,4,reviewed,ci,ci
1972-09-26T14:30:00.820Z,37.1213333,-116.0856667,0.3,3.94,ml,13,256,1.716,0.92,ci,ci3320739,2016-01-29T01:30:50.980Z,"64km ENE of Beatty, NV",nuclear explosion,99,31.61,0.293,10,reviewed,ci,ci
1972-09-26T12:32:48.180Z,36.0608333,-118.299,6,2.63,ml,4,185,0.4176,0.46,ci,ci3320726,2016-01-29T01:20:54.530Z,"32km W of Coso Junction, CA",earthquake,1.56,31.61,0.24,4,reviewed,ci,ci
1972-09-24T01:30:43.920Z,34.4175,-117.211,3.8,2.5,ml,13,87,,0.49,ci,ci3321081,2016-01-29T01:20:54.040Z,"8km E of Hesperia, CA",earthquake,0.77,1.97,0.128,4,reviewed,ci,ci
1972-09-23T06:14:44.800Z,36.8491667,-115.4565,6,3.24,ml,5,299,1.892,0.8,ci,ci3321079,2016-01-29T01:15:58.960Z,"63km SSW of Alamo, NV",earthquake,6.69,31.61,0.08,4,reviewed,ci,ci
1972-09-23T03:43:42.480Z,34.8303333,-120.6941667,6,3.3,ml,8,308,,0.43,ci,ci3321076,2016-01-29T01:25:51.880Z,"18km WNW of Vandenberg Air Force Base, CA",earthquake,2.67,31.61,0.043,8,reviewed,ci,ci
1972-09-21T15:30:00.480Z,37.082,-116.0383333,0.6,5.1,ml,15,255,,0.42,ci,ci3321071,2016-01-29T01:45:24.060Z,"66km ENE of Beatty, NV",nuclear explosion,99,31.61,0.264,9,reviewed,ci,ci
1972-09-20T23:48:06.140Z,35.3971667,-118.4923333,3.58,2.5,mh,7,127,0.2654,0.47,ci,ci3321069,2016-01-29T01:10:49.220Z,"21km S of Bodfish, CA",earthquake,1.77,4.33,0.134,12,reviewed,ci,ci
1972-09-20T17:48:12.170Z,34.1131667,-117.465,0.02,2.77,ml,11,126,,0.45,ci,ci3321068,2016-01-29T01:35:47.760Z,"2km NNW of Fontana, CA",earthquake,0.88,1.93,0.215,6,reviewed,ci,ci
1972-09-18T21:50:52.930Z,37.5293333,-117.9933333,6,3.21,ml,4,327,,0.57,ci,ci3321065,2016-01-29T01:30:49.990Z,"40km ENE of Bishop, CA",earthquake,4.31,31.61,0.087,6,reviewed,ci,ci
1972-09-15T08:12:00.500Z,33.9811667,-116.4003333,6,2.89,ml,8,99,,0.45,ci,ci3320987,2016-01-29T01:20:52.520Z,"10km ENE of Desert Hot Springs, CA",earthquake,1.32,31.61,0.154,4,reviewed,ci,ci
1972-09-11T19:58:32.400Z,34.0001667,-116.3773333,0.01,3.26,ml,7,98,,0.59,ci,ci3320986,2016-01-29T01:10:47.330Z,"12km ENE of Desert Hot Springs, CA",earthquake,1.42,3.87,0.037,3,reviewed,ci,ci
1972-09-11T13:47:38.320Z,35.8366667,-118.023,1.74,3.02,ml,8,111,,0.47,ci,ci3320985,2016-01-29T01:25:49.830Z,"15km SW of Little Lake, CA",earthquake,1.15,3.52,0.047,9,reviewed,ci,ci
1972-09-11T10:16:23.870Z,33.4463333,-116.3858333,6,2.98,ml,8,131,,0.41,ci,ci3320984,2016-01-29T01:25:49.330Z,"21km N of Borrego Springs, CA",earthquake,0.98,31.61,0.146,3,reviewed,ci,ci
1972-09-11T09:40:28.530Z,34.0051667,-117.2286667,14.5,3.85,ml,17,105,,0.35,ci,ci3320983,2016-01-29T01:10:46.790Z,"6km SSE of Loma Linda, CA",earthquake,1.15,0.74,0.057,9,reviewed,ci,ci
1972-09-11T06:43:59.630Z,33.482,-116.4016667,3.26,3.13,mh,8,126,,0.46,ci,ci3320982,2016-01-29T01:10:46.270Z,"22km SSW of La Quinta, CA",earthquake,1.22,3.39,0.162,13,reviewed,ci,ci
